thread,time
2,0.00
2,0.00
2,0.00
2,0.00
2,0.00
4,0.01
4,0.00
4,0.00
4,0.00
4,0.00
8,0.00
8,0.00
8,0.01
8,0.00
8,0.01
16,0.01
16,0.01
16,0.01
16,0.02
16,0.04
32,0.02
32,0.01
32,0.01
32,0.02
32,0.02
64,0.08
64,0.07
64,0.04
64,0.05
64,0.03
