nthreads,time1,time2,time3,time4,time5
1,2,0.23,0.21,0.16,0.19,0.22
1,4,0.13,0.13,0.13,0.13,0.13
1,8,0.09,0.09,0.09,0.09,0.09
1,16,0.07,0.07,0.08,0.07,0.07
1,32,0.07,0.06,0.07,0.07,0.07
1,64,0.08,0.07,0.07,0.07,0.07
2,2,0.21,0.21,0.17,0.19,0.21
2,4,0.14,0.14,0.14,0.14,0.15
2,8,0.09,0.09,0.10,0.10,0.11
2,16,0.09,0.15,0.11,0.10,0.11
2,32,0.28,0.12,0.15,0.19,0.22
2,64,0.13,0.19,0.16,0.13,0.15
