nthreads,time1,time2,time3,time4,time5
1,1,0.17,0.15,0.16,0.15,0.15
1,2,0.11,0.11,0.11,0.12,0.11
1,4,0.09,0.10,0.10,0.09,0.10
1,8,0.08,0.08,0.08,0.09,0.08
1,16,0.08,0.11,0.08,0.08,0.08
1,32,0.12,0.08,0.08,0.08,0.08
1,64,0.08,0.08,0.08,0.08,0.08
2,1,0.16,0.16,0.16,0.16,0.16
2,2,0.16,0.16,0.16,0.16,0.16
2,4,0.16,0.16,0.16,0.16,0.16
2,8,0.16,0.16,0.18,0.16,0.17
2,16,0.17,0.16,0.28,0.16,0.16
2,32,0.17,0.16,0.19,0.18,0.16
2,64,0.21,0.24,0.17,0.24,0.23
