nthreads,time1,time2,time3,time4,time5
1,1,0.52,0.51,0.35,0.44,0.60
1,2,0.45,0.39,0.53,0.51,0.26
1,4,0.44,0.47,0.48,0.48,0.49
1,8,0.47,0.33,0.20,0.45,0.47
1,16,0.32,0.42,0.45,0.34,0.43
1,32,0.44,0.34,0.43,0.32,0.42
1,64,0.43,0.34,0.43,0.32,0.42
2,1,0.47,0.48,0.48,0.49,0.34
2,2,0.53,0.40,0.56,0.70,0.59
2,4,0.75,0.66,0.55,0.58,0.76
2,8,0.62,0.53,0.50,0.50,0.49
2,16,0.55,0.56,0.60,0.51,0.53
2,32,0.54,0.63,0.70,0.59,0.46
2,64,0.57,0.72,0.57,0.42,0.46
